"apache.clientip","count_res"
"23.166.125.53","13"
"71.221.121.107","11"
"83.131.11.65","6"
"80.106.251.94","6"
"22.132.197.8","4"
"13.78.39.216","4"
"12.234.8.15","4"
"71.221.152.243","2"
"7.207.19.229","2"
"22.243.118.140","2"
"1.157.46.56","2"
"83.14.126.214","1"
"8.216.26.177","1"
"71.216.226.200","1"
"63.177.82.13","1"
"21.178.200.117","1"
"21.178.200.101","1"
"19.137.219.115","1"
"16.7.65.30","1"
"14.54.31.84","1"
"12.65.193.15","1"
"12.102.152.92","1"
"1.164.215.26","1"
"01.29.207.38","1"
"01.226.66.187","1"
"01.226.33.206","1"
"0.10.159.169","1"

