"apache.clientip","count_all","count_400l","count_500l","len_1000l"
"23.166.125.53","13","4",,"9"
"71.221.121.107","11",,,"11"
"83.131.11.65","6",,,"6"
"80.106.251.94","6",,,"6"
"22.132.197.8","4","1",,"3"
"13.78.39.216","4",,"4",
"12.234.8.15","4",,,"4"
"71.221.152.243","2","2",,
"7.207.19.229","2",,,"2"
"22.243.118.140","2","2",,
"1.157.46.56","2","2",,
"8.216.26.177","1",,"1",
"63.177.82.13","1",,"1",
"21.178.200.101","1",,,"1"
"19.137.219.115","1",,,
"16.7.65.30","1",,,
"14.54.31.84","1",,,"1"
"12.102.152.92","1",,,
"01.29.207.38","1",,,"1"
"01.226.33.206","1",,"1",

